Player,Pos,Ht,Wt,Forty,Vertical,BenchReps,BroadJump,Cone,Shuttle,Year,AV,Team,Round,Pick
Dante Pettis ,WR,72,186,-1,-1,-1,-1,-1,-1,2018,0,San Francisco 49ers,2,44
Kemoko Turay ,EDGE,77,253,4.65,-1,-1,-1,-1,-1,2018,0,Indianapolis Colts,2,52
Josh Adams,RB,74,213,-1,-1,18,-1,-1,-1,2018,0,Undrafted,-1,-1
Ola Adeniyi,EDGE,74,248,4.83,31.5,26,-1,7.21,4.28,2018,0,Undrafted,-1,-1
Jordan Akins,TE,75,249,-1,-1,-1,-1,-1,-1,2018,0,Houston Texans,3,98
Jaire Alexander,CB,71,192,4.38,35,14,127,6.71,3.98,2018,0,Green Bay Packers,1,18
Austin Allen,QB,72,210,4.81,29.5,-1,112,7.18,4.48,2018,0,Undrafted,-1,-1
Brian Allen-04,C,73,298,5.34,26.5,27,99,7.81,4.71,2018,0,Undrafted,-1,-1
Josh Allen,QB,77,237,4.75,33.5,-1,119,6.9,4.4,2018,0,Undrafted,-1,-1
Marcus Allen,S,74,202,-1,37,15,127,-1,4.32,2018,0,Undrafted,-1,-1
Mark Andrews,TE,77,256,4.67,31,17,113,7.34,4.38,2018,0,Undrafted,-1,-1
Troy Apke,S,74,198,4.34,41,16,131,6.56,4.03,2018,0,Undrafted,-1,-1
Dorance Armstrong,EDGE,76,257,4.87,30,20,118,7.12,4.23,2018,0,Undrafted,-1,-1
Ade Aruna,DE,78,262,4.6,38.5,18,128,7.53,4.48,2018,0,Undrafted,-1,-1
Marcell Ateman,WR,76,216,4.62,34,13,121,7.07,4.25,2018,0,Undrafted,-1,-1
John Atkins,DT,76,321,5.38,24,-1,89,7.95,4.75,2018,0,Undrafted,-1,-1
Anthony Averett,CB,72,185,4.36,31.5,13,119,6.93,4.4,2018,0,Undrafted,-1,-1
Genard Avery,ILB,73,248,4.59,36,26,124,6.9,4.36,2018,0,Undrafted,-1,-1
Mike Badgley,K,70,183,4.94,-1,-1,111,-1,-1,2018,0,Undrafted,-1,-1
Jerome Baker,OLB,73,229,4.53,36.5,22,126,-1,-1,2018,0,Undrafted,-1,-1
Kalen Ballage,RB,73,228,4.46,33.5,15,122,6.91,4.35,2018,0,Undrafted,-1,-1
Saquon Barkley,RB,72,233,4.4,41,29,-1,-1,4.24,2018,0,Undrafted,-1,-1
J.T. Barrett,QB,73,224,4.7,30,-1,108,7.38,4.44,2018,0,Undrafted,-1,-1
Jessie Bates,S,74,195,4.5,35.5,-1,117,6.78,4.26,2018,0,Undrafted,-1,-1
Marcus Baugh,TE,75,247,4.81,33,-1,117,7.28,4.51,2018,0,Undrafted,-1,-1
Nick Bawden,FB,74,245,-1,-1,-1,-1,-1,-1,2018,0,Undrafted,-1,-1
Davin Bellamy,EDGE,77,255,-1,-1,15,-1,-1,-1,2018,0,Undrafted,-1,-1
Kurt Benkert,QB,75,218,4.95,31,16,112,7.15,4.33,2018,0,Undrafted,-1,-1
Braxton Berrios,WR,69,184,-1,-1,11,-1,-1,-1,2018,0,Undrafted,-1,-1
Keishawn Bierria,ILB,74,230,4.79,30.5,21,117,7.26,-1,2018,0,Undrafted,-1,-1
Quin Blanding,S,74,215,4.63,31.5,-1,122,-1,-1,2018,0,Undrafted,-1,-1
David Bright,OT,77,307,-1,-1,-1,-1,-1,-1,2018,0,Undrafted,-1,-1
Andrew Brown,DE,76,296,5.03,28,31,101,7.51,4.48,2018,0,Undrafted,-1,-1
Drew Brown,K,70,208,-1,-1,-1,-1,-1,-1,2018,0,Undrafted,-1,-1
Orlando Brown,OT,80,345,5.85,19.5,14,82,7.87,5.38,2018,0,Undrafted,-1,-1
Tony Brown,CB,72,198,4.35,31.5,14,126,6.78,4.11,2018,0,Undrafted,-1,-1
Equanimeous St. brown,WR,77,214,4.48,-1,20,-1,-1,-1,2018,0,Undrafted,-1,-1
Taven Bryan,DT,76,291,4.98,35,30,119,7.12,4.48,2018,0,Undrafted,-1,-1
Oren Burks,OLB,75,233,4.59,39.5,18,131,6.82,4.15,2018,0,Undrafted,-1,-1
Deontay Burnett,WR,72,186,-1,-1,-1,-1,-1,-1,2018,0,Undrafted,-1,-1
Jason Cabinda,ILB,73,239,-1,-1,19,-1,-1,-1,2018,0,Undrafted,-1,-1
Deon Cain,WR,74,202,4.43,33.5,11,115,6.71,4.37,2018,0,Undrafted,-1,-1
Antonio Callaway,WR,71,200,4.41,34,-1,121,-1,-1,2018,0,Undrafted,-1,-1
Chris Campbell,CB,73,194,-1,-1,14,-1,-1,-1,2018,0,Undrafted,-1,-1
Dylan Cantrell,WR,75,226,4.59,38.5,18,130,6.56,4.03,2018,0,Undrafted,-1,-1
Alex Cappa,OT,78,305,5.39,26.5,24,97,8.04,4.84,2018,0,Undrafted,-1,-1
Tanner Carew,LS,73,243,5,30,18,111,7.26,4.28,2018,0,Undrafted,-1,-1
Daniel Carlson,K,77,213,-1,-1,-1,-1,-1,-1,2018,0,Undrafted,-1,-1
Lorenzo Carter,EDGE,78,250,4.5,36,-1,130,-1,-1,2018,0,Undrafted,-1,-1
Andre Chachere,CB,72,200,4.49,38,13,123,6.78,4.07,2018,0,Undrafted,-1,-1
Sean Chandler,S,72,190,4.65,34.5,16,119,-1,4.62,2018,0,Undrafted,-1,-1
D.J. Chark,WR,75,199,4.34,40,16,129,-1,-1,2018,0,Undrafted,-1,-1
Geron Christian,OT,77,298,5.33,-1,19,-1,-1,-1,2018,0,Undrafted,-1,-1
Bradley Chubb,DE,76,269,4.65,36,24,121,7.37,4.41,2018,0,Undrafted,-1,-1
Nick Chubb,RB,71,227,4.52,38.5,29,128,7.09,4.25,2018,0,Undrafted,-1,-1
Jack Cichy,ILB,74,238,-1,-1,18,-1,-1,-1,2018,0,Undrafted,-1,-1
Will Clapp,C,76,311,5.39,29,25,97,8.04,4.92,2018,0,Undrafted,-1,-1
Simmie Cobbs,WR,75,220,4.64,30,11,113,6.7,4.32,2018,0,Undrafted,-1,-1
Mason Cole,C,76,307,5.23,23.5,23,104,7.77,4.78,2018,0,Undrafted,-1,-1
Lavon Coleman,RB,71,215,4.65,33,23,120,-1,-1,2018,0,Undrafted,-1,-1
Tyler Conklin,TE,75,254,4.8,38,18,120,7.13,4.23,2018,0,Undrafted,-1,-1
